"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"469","2023-10-27 16:35:36","0","0","0","0"
"470","2023-10-27 16:47:51","0","0","0","0"
"471","2023-10-27 17:08:56","0","0","0","0"
"472","2023-10-27 17:13:56","0","0","0","0"
"473","2023-10-27 17:18:56","0","0","0","0"
"474","2023-10-27 17:23:56","0","0","0","0"
"475","2023-10-27 17:28:56","0","0","0","0"
"476","2023-10-27 17:33:56","0","0","0","0"
"477","2023-10-27 17:38:56","0","0","0","0"
"478","2023-10-27 17:43:56","0","0","0","0"
"479","2023-10-27 17:48:56","0","0","0","0"
"480","2023-10-27 17:53:56","0","0","0","0"
"481","2023-10-27 17:58:56","0","0","0","0"
"482","2023-10-27 18:03:56","0","0","0","0"
"483","2023-10-27 18:08:56","0","0","0","0"
"484","2023-10-27 18:13:56","0","0","0","0"
"485","2023-10-27 18:18:56","0","0","0","0"
"486","2023-10-27 18:23:56","0","0","0","0"
"487","2023-10-27 18:28:56","0","0","0","0"
"488","2023-10-27 18:33:56","0","0","0","0"
"489","2023-10-27 18:38:56","0","0","0","0"
"490","2023-10-27 18:43:56","0","0","0","0"
"491","2023-10-27 18:48:56","0","0","0","0"
"492","2023-10-27 18:53:56","0","0","0","0"
"493","2023-10-27 18:58:56","0","0","0","0"
"494","2023-10-27 19:03:56","0","0","0","0"
"495","2023-10-27 19:08:56","0","0","0","0"
"496","2023-10-27 19:13:56","0","0","0","0"
"497","2023-10-27 19:18:56","0","0","0","0"
"498","2023-10-27 19:23:56","0","0","0","0"
"499","2023-10-27 19:28:56","0","0","0","0"
"500","2023-10-27 19:33:56","0","0","0","0"
"501","2023-10-27 19:38:56","0","0","0","0"
"502","2023-10-27 19:43:56","0","0","0","0"
"503","2023-10-27 19:48:56","0","0","0","0"
"504","2023-10-27 19:53:56","0","0","0","0"
"505","2023-10-27 19:58:56","36.150562286","177.64109802","1801.5462646","7.39833116531"
"506","2023-10-27 20:03:56","90.386932373","705.54315186","6841.5698242","48.2182006836"
"507","2023-10-27 20:08:56","90.398956299","887.30096436","8399.671875","62.8227310181"
"508","2023-10-27 20:13:56","90.386886597","882.47277832","8352.8457031","62.2723274231"
"509","2023-10-27 20:22:35","85.876144409","983.52575684","9310.2998047","67.8711471558"
"510","2023-10-27 20:30:11","85.869316101","996.83935547","9435.5732422","67.5764007568"
"511","2023-10-27 20:35:11","90.413024902","1043.0096436","9875.2285156","71.9169921875"
"512","2023-10-27 20:40:11","90.396224976","1038.793335","9833.5009766","71.2332000732"
