"ID","TIME","PEAK_PEAK_PFS","PEAK_PEAK_KNM","MAIN_FREQ","SECOND_FREQ","TORQUE_HIGH","TORQUE_LOW","RPM_HIGH","RPM_LOW"
"205","2023-10-26 17:57:48","0","0","0","0","0","0","0","0"
"206","2023-10-26 18:02:48","0","0","0","0","0","0","0","0"
"207","2023-10-26 18:07:48","0","0","0","0","0","0","0","0"
"208","2023-10-26 18:12:52","0","0","0","0","0","0","0","0"
"209","2023-10-26 18:17:52","0","0","0","0","0","0","0","0"
"210","2023-10-26 18:26:01","0","0","0","0","0","0","0","0"
"211","2023-10-26 18:31:01","0","0","0","0","0","0","0","0"
"212","2023-10-26 18:36:01","0","0","0","0","0","0","0","0"
"213","2023-10-26 18:41:01","0","0","0","0","0","0","0","0"
"214","2023-10-26 18:46:01","0","0","0","0","0","0","0","0"
"215","2023-10-26 18:51:01","0","0","0","0","0","0","0","0"
"216","2023-10-26 18:56:01","0","0","0","0","0","0","0","0"
"217","2023-10-26 19:01:01","0","0","0","0","0","0","0","0"
"218","2023-10-26 19:06:01","0","0","0","0","0","0","0","0"
"219","2023-10-26 19:11:01","0","0","0","0","0","0","0","0"
"220","2023-10-26 19:16:01","0","0","0","0","0","0","0","0"
"221","2023-10-26 19:21:01","0","0","0","0","0","0","0","0"
"222","2023-10-26 19:26:01","0","0","0","0","0","0","0","0"
"223","2023-10-26 19:31:01","0","0","0","0","0","0","0","0"
"224","2023-10-26 19:36:01","0","0","0","0","0","0","0","0"
"225","2023-10-26 19:41:01","0","0","0","0","0","0","0","0"
"226","2023-10-26 19:46:01","0","0","0","0","0","0","0","0"
"227","2023-10-26 19:51:01","0","0","0","0","0","0","0","0"
"228","2023-10-26 19:56:01","0","0","0","0","0","0","0","0"
"229","2023-10-26 20:01:01","0","0","0","0","0","0","0","0"
"230","2023-10-26 20:06:01","0","0","0","0","0","0","0","0"
"231","2023-10-26 20:11:01","0","0","0","0","0","0","0","0"
"232","2023-10-26 20:22:41","0","0","0","0","0","0","0","0"
"233","2023-10-26 20:27:41","0","0","0","0","0","0","0","0"
"234","2023-10-26 20:32:41","0","0","0","0","0","0","0","0"
"235","2023-10-26 20:37:41","0","0","0","0","0","0","0","0"
"236","2023-10-26 20:42:41","0","0","0","0","0","0","0","0"
"237","2023-10-26 20:47:41","0","0","0","0","0","0","0","0"
"238","2023-10-26 20:52:41","0","0","0","0","0","0","0","0"
"239","2023-10-26 20:57:41","0","0","0","0","0","0","0","0"
"240","2023-10-26 21:02:41","0","0","0","0","0","0","0","0"
"241","2023-10-26 21:07:41","0","0","0","0","0","0","0","0"
"242","2023-10-26 21:12:41","0","0","0","0","0","0","0","0"
"243","2023-10-26 21:17:41","0","0","0","0","0","0","0","0"
"244","2023-10-26 21:22:41","0","0","0","0","0","0","0","0"
"245","2023-10-26 21:27:41","0","0","0","0","0","0","0","0"
"246","2023-10-26 21:32:41","0","0","0","0","0","0","0","0"
"247","2023-10-26 21:37:41","0","0","0","0","0","0","0","0"
"248","2023-10-26 21:42:41","0","0","0","0","0","0","0","0"
"249","2023-10-26 21:47:41","0","0","0","0","0","0","0","0"
"250","2023-10-26 21:52:41","0","0","0","0","0","0","0","0"
"251","2023-10-26 21:57:41","0","0","0","0","0","0","0","0"
"252","2023-10-26 22:02:41","0","0","0","0","0","0","0","0"
"253","2023-10-26 22:07:56","0","0","0","0","0","0","0","0"
"254","2023-10-26 22:15:15","0","0","0","0","0","0","0","0"
"255","2023-10-26 22:20:15","0","0","0","0","0","0","0","0"
"256","2023-10-26 22:25:15","0","0","0","0","0","0","0","0"
"257","2023-10-26 22:30:15","0","0","0","0","0","0","0","0"
"258","2023-10-26 22:35:15","0","0","0","0","0","0","0","0"
"259","2023-10-26 22:40:15","0","0","0","0","0","0","0","0"
"260","2023-10-26 22:45:15","0","0","0","0","0","0","0","0"
"261","2023-10-26 22:50:15","0","0","0","0","0","0","0","0"
"262","2023-10-26 22:55:15","0","0","0","0","0","0","0","0"
"263","2023-10-26 23:00:15","0","0","0","0","0","0","0","0"
"264","2023-10-26 23:05:15","0","0","0","0","0","0","0","0"
"265","2023-10-26 23:10:15","0","0","0","0","0","0","0","0"
"266","2023-10-26 23:15:15","0","0","0","0","0","0","0","0"
"267","2023-10-26 23:20:15","0","0","0","0","0","0","0","0"
"268","2023-10-26 23:25:15","0","0","0","0","0","0","0","0"
"269","2023-10-26 23:30:15","0","0","0","0","0","0","0","0"
"270","2023-10-26 23:35:15","0","0","0","0","0","0","0","0"
"271","2023-10-26 23:40:15","0","0","0","0","0","0","0","0"
"272","2023-10-26 23:45:15","0","0","0","0","0","0","0","0"
"273","2023-10-26 23:50:15","0","0","0","0","0","0","0","0"
"274","2023-10-26 23:55:15","0","0","0","0","0","0","0","0"
"275","2023-10-27 00:00:15","0","0","0","0","0","0","0","0"
"276","2023-10-27 00:05:15","0","0","0","0","0","0","0","0"
"277","2023-10-27 00:10:15","0","0","0","0","0","0","0","0"
"278","2023-10-27 00:15:15","0","0","0","0","0","0","0","0"
"279","2023-10-27 00:20:15","0","0","0","0","0","0","0","0"
"280","2023-10-27 00:25:15","0","0","0","0","0","0","0","0"
"281","2023-10-27 00:30:15","0","0","0","0","0","0","0","0"
"282","2023-10-27 00:35:15","0","0","0","0","0","0","0","0"
"283","2023-10-27 00:40:15","0","0","0","0","0","0","0","0"
"284","2023-10-27 00:49:16","0","0","0","0","0","0","0","0"
"285","2023-10-27 00:54:16","0","0","0","0","0","0","0","0"
"286","2023-10-27 00:59:16","0","0","0","0","0","0","0","0"
"287","2023-10-27 01:04:16","0","0","0","0","0","0","0","0"
"288","2023-10-27 01:09:16","0","0","0","0","0","0","0","0"
"289","2023-10-27 01:14:16","0","0","0","0","0","0","0","0"
"290","2023-10-27 01:19:16","0","0","0","0","0","0","0","0"
"291","2023-10-27 01:24:16","0","0","0","0","0","0","0","0"
"292","2023-10-27 01:29:16","0","0","0","0","0","0","0","0"
"293","2023-10-27 01:34:16","0","0","0","0","0","0","0","0"
"294","2023-10-27 01:39:16","0","0","0","0","0","0","0","0"
"295","2023-10-27 01:44:16","0","0","0","0","0","0","0","0"
"296","2023-10-27 01:49:16","0","0","0","0","0","0","0","0"
"297","2023-10-27 01:54:16","0","0","0","0","0","0","0","0"
"298","2023-10-27 01:59:16","0","0","0","0","0","0","0","0"
"299","2023-10-27 02:04:16","0","0","0","0","0","0","0","0"
"300","2023-10-27 02:09:16","0","0","0","0","0","0","0","0"
"301","2023-10-27 02:14:16","0","0","0","0","0","0","0","0"
"302","2023-10-27 02:19:16","0","0","0","0","0","0","0","0"
"303","2023-10-27 02:24:16","0","0","0","0","0","0","0","0"
"304","2023-10-27 02:29:16","0","0","0","0","0","0","0","0"
"305","2023-10-27 02:34:16","0","0","0","0","0","0","0","0"
"306","2023-10-27 02:39:16","0","0","0","0","0","0","0","0"
"307","2023-10-27 02:44:16","0","0","0","0","0","0","0","0"
"308","2023-10-27 02:49:16","0","0","0","0","0","0","0","0"
"309","2023-10-27 02:54:16","0","0","0","0","0","0","0","0"
"310","2023-10-27 02:59:16","0","0","0","0","0","0","0","0"
"311","2023-10-27 03:04:16","0","0","0","0","0","0","0","0"
"312","2023-10-27 03:09:16","0","0","0","0","0","0","0","0"
"313","2023-10-27 03:14:16","0","0","0","0","0","0","0","0"
"314","2023-10-27 03:19:16","0","0","0","0","0","0","0","0"
"315","2023-10-27 03:24:16","0","0","0","0","0","0","0","0"
"316","2023-10-27 03:29:16","0","0","0","0","0","0","0","0"
"317","2023-10-27 03:34:16","0","0","0","0","0","0","0","0"
"318","2023-10-27 03:39:16","0","0","0","0","0","0","0","0"
"319","2023-10-27 03:44:16","0","0","0","0","0","0","0","0"
"320","2023-10-27 03:49:16","0","0","0","0","0","0","0","0"
"321","2023-10-27 03:54:16","0","0","0","0","0","0","0","0"
"322","2023-10-27 03:59:16","0","0","0","0","0","0","0","0"
"323","2023-10-27 04:04:16","0","0","0","0","0","0","0","0"
"324","2023-10-27 04:09:16","0","0","0","0","0","0","0","0"
"325","2023-10-27 04:14:16","0","0","0","0","0","0","0","0"
"326","2023-10-27 04:19:16","0","0","0","0","0","0","0","0"
"327","2023-10-27 04:24:16","0","0","0","0","0","0","0","0"
"328","2023-10-27 04:29:16","0","0","0","0","0","0","0","0"
"329","2023-10-27 04:34:16","0","0","0","0","0","0","0","0"
"330","2023-10-27 04:39:16","0","0","0","0","0","0","0","0"
"331","2023-10-27 04:44:16","0","0","0","0","0","0","0","0"
"332","2023-10-27 04:49:16","0","0","0","0","0","0","0","0"
"333","2023-10-27 04:54:16","0","0","0","0","0","0","0","0"
"334","2023-10-27 04:59:16","0","0","0","0","0","0","0","0"
"335","2023-10-27 05:04:16","0","0","0","0","0","0","0","0"
"336","2023-10-27 05:09:16","0","0","0","0","0","0","0","0"
"337","2023-10-27 05:14:16","0","0","0","0","0","0","0","0"
"338","2023-10-27 05:19:16","0","0","0","0","0","0","0","0"
"339","2023-10-27 05:24:16","0","0","0","0","0","0","0","0"
"340","2023-10-27 05:29:16","0","0","0","0","0","0","0","0"
"341","2023-10-27 05:34:16","0","0","0","0","0","0","0","0"
"342","2023-10-27 05:39:16","0","0","0","0","0","0","0","0"
"343","2023-10-27 05:44:16","0","0","0","0","0","0","0","0"
"344","2023-10-27 05:49:16","0","0","0","0","0","0","0","0"
"345","2023-10-27 05:54:16","0","0","0","0","0","0","0","0"
"346","2023-10-27 05:59:16","0","0","0","0","0","0","0","0"
"347","2023-10-27 06:04:16","0","0","0","0","0","0","0","0"
"348","2023-10-27 06:09:16","0","0","0","0","0","0","0","0"
"349","2023-10-27 06:14:16","0","0","0","0","0","0","0","0"
"350","2023-10-27 06:19:16","0","0","0","0","0","0","0","0"
"351","2023-10-27 06:24:16","0","0","0","0","0","0","0","0"
"352","2023-10-27 06:29:16","0","0","0","0","0","0","0","0"
"353","2023-10-27 06:34:16","0","0","0","0","0","0","0","0"
"354","2023-10-27 06:39:16","0","0","0","0","0","0","0","0"
"355","2023-10-27 06:44:16","0","0","0","0","0","0","0","0"
"356","2023-10-27 06:49:16","0","0","0","0","0","0","0","0"
"357","2023-10-27 06:54:16","0","0","0","0","0","0","0","0"
"358","2023-10-27 06:59:16","0","0","0","0","0","0","0","0"
"359","2023-10-27 07:04:16","0","0","0","0","0","0","0","0"
"360","2023-10-27 07:09:16","0","0","0","0","0","0","0","0"
"361","2023-10-27 07:14:16","0","0","0","0","0","0","0","0"
"362","2023-10-27 07:19:16","0","0","0","0","0","0","0","0"
"363","2023-10-27 07:24:16","0","0","0","0","0","0","0","0"
"364","2023-10-27 07:29:16","0","0","0","0","0","0","0","0"
"365","2023-10-27 07:34:16","0","0","0","0","0","0","0","0"
"366","2023-10-27 07:39:16","0","0","0","0","0","0","0","0"
"367","2023-10-27 07:44:16","0","0","0","0","0","0","0","0"
"368","2023-10-27 07:49:16","0","0","0","0","0","0","0","0"
"369","2023-10-27 07:54:16","0","0","0","0","0","0","0","0"
"370","2023-10-27 07:59:16","0","0","0","0","0","0","0","0"
"371","2023-10-27 08:04:16","0","0","0","0","0","0","0","0"
"372","2023-10-27 08:09:16","0","0","0","0","0","0","0","0"
"373","2023-10-27 08:14:16","0","0","0","0","0","0","0","0"
"374","2023-10-27 08:19:16","0","0","0","0","0","0","0","0"
"375","2023-10-27 08:24:16","0","0","0","0","0","0","0","0"
"376","2023-10-27 08:29:16","0","0","0","0","0","0","0","0"
"377","2023-10-27 08:34:16","0","0","0","0","0","0","0","0"
"378","2023-10-27 08:39:16","0","0","0","0","0","0","0","0"
"379","2023-10-27 08:44:16","0","0","0","0","0","0","0","0"
"380","2023-10-27 08:49:16","0","0","0","0","0","0","0","0"
